Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
2.3841574147809297e-05,0,-0.0,0.218696231842041,minima-saddle,2.5629668016335927e-05,15231,0.24870330095291138,3,3788,0.5305
2.3841574147809297e-05,1,-0.0,0.218696231842041,minima-saddle,2.5629668016335927e-05,3060,1.0,8,3060,0.4484
2.3841574147809297e-05,2,-0.0,0.218696231842041,minima-saddle,3.075552376685664e-05,1415,0.9992932677268982,6,1414,0.2056
2.3841574147809297e-05,3,7.152555099310121e-07,0.21869694709755094,minima-saddle,2.8729005862260237e-05,974,1.0,1,974,0.1237
2.3841574147809297e-05,4,2.9444261599564925e-05,0.21872567610364058,saddle-saddle,1.3112621672917157e-06,49,1.0,1,49,0.0062
2.3841574147809297e-05,5,-0.0,0.218696231842041,minima-saddle,5.602679812000133e-05,1818,1.0,6,1818,0.2644
2.3841574147809297e-05,6,-0.0,0.218696231842041,minima-saddle,2.825220326485578e-05,2395,1.0,7,2395,0.3284
2.3841574147809297e-05,7,2.825220326485578e-05,0.21872448404530587,saddle-saddle,2.503320502000861e-06,524,0.17175573110580444,7,90,0.0123
2.3841574147809297e-05,8,1.0728830375228426e-06,0.21869730472507853,minima-saddle,2.968264016089961e-05,253,1.0,1,253,0.0321
2.3841574147809297e-05,9,7.164221460698172e-05,0.218767874056648,saddle-saddle,1.9191138562746346e-05,1982,0.2558022141456604,1,507,0.0644
2.3841574147809297e-05,10,-0.0,0.218696231842041,minima-saddle,9.083335316972807e-05,3711,0.9997305274009705,0,3710,0.5374
2.3841574147809297e-05,11,2.8490614567999728e-05,0.218724722456609,minima-saddle,3.3377094950992614e-05,1,1.0,1,1,0.0001
2.3841574147809297e-05,12,2.5629668016335927e-05,0.21872186151005735,saddle-saddle,2.6225352485198528e-06,486,0.2222222238779068,9,108,0.0155
2.3841574147809297e-05,13,5.602679812000133e-05,0.218752258640161,saddle-saddle,1.5615416486980394e-05,1550,0.16387096047401428,7,254,0.0348
2.3841574147809297e-05,14,3.075552376685664e-05,0.21872698736580787,saddle-saddle,2.527127435314469e-05,3732,0.18006430566310883,7,672,0.0921
2.3841574147809297e-05,15,4.0531076592742465e-06,0.21870028494970029,minima-saddle,2.5391153030795977e-05,3,1.0,1,3,0.0004
2.3841574147809297e-05,16,9.083335316972807e-05,10.93490219116211,saddle-maxima,10.93481159210205,31346,0.14738722145557404,1,4620,0.5865
2.3841574147809297e-05,17,3.075552376685664e-05,0.21872698736580787,saddle-saddle,3.11121839331463e-05,1183,1.0,1,1183,0.1502
2.3841574147809297e-05,18,6.186770770000294e-05,0.21875809954974101,saddle-saddle,9.774506906978786e-06,287,1.0,1,287,0.0364
