split,n,train_pearson,val_pearson,train_spearman,val_spearman
full_centroid_mean_separation,2412,0.3088802421422262,0.6918399608907537,0.6088283547372234,0.8002546524878682
full_centroid_min_separation,2412,0.4236478458208134,0.7632404520306701,0.7808221586159496,0.9133150862915174
full_centroid_mean_correlation,2412,-0.7983601368935016,-0.6977386919534444,-0.7219873526298684,-0.6688145213211744
cifar_centroid_mean_separation,1206,-0.3464966988539318,-0.2412011779941937,-0.4477657404252296,-0.4889706977162006
cifar_centroid_min_separation,1206,0.4517060158075728,0.4356785981618937,0.4189443965757315,0.3777045093911036
cifar_centroid_mean_correlation,1206,-0.7259485858169453,-0.8100242659810707,-0.6582914545391436,-0.5809080630449438
mnist_centroid_mean_separation,1206,0.4387605725940368,0.4551026422721692,0.7727537541634915,0.9263856321165884
mnist_centroid_min_separation,1206,0.4562088074579044,0.4572836801865267,0.7889638811410064,0.9414474558426033
mnist_centroid_mean_correlation,1206,-0.9267942494425536,-0.9396669209984476,-0.2397090649170797,0.166804624064511
densenet_centroid_mean_separation,1206,0.2494759511613816,0.6915453067105682,0.5564055039462846,0.7986006120481826
densenet_centroid_min_separation,1206,0.4183931488569183,0.7898468287798924,0.7175475174645831,0.9000373161608273
densenet_centroid_mean_correlation,1206,-0.74821602441829,-0.7003158272906242,-0.7533744271634849,-0.8548624427693301
resnet_centroid_mean_separation,1206,0.4012546404579637,0.7919417846060306,0.7418476325355069,0.8231887317300749
resnet_centroid_min_separation,1206,0.4834717328536188,0.8306602603325027,0.9070205883139556,0.949735278147352
resnet_centroid_mean_correlation,1206,-0.8500919433616101,-0.6961710174510637,-0.8884324663533463,-0.7936738950276737
cifar_densenet_centroid_mean_separation,603,-0.4850328645368265,-0.3817246445484298,-0.3797697292359427,-0.467104450395868
cifar_densenet_centroid_min_separation,603,0.388181000280341,0.3976809325660476,0.3401265490486576,0.2771267653440656
cifar_densenet_centroid_mean_correlation,603,-0.6338471566404823,-0.7218972897378133,-0.4797548080530641,-0.3671314523276323
cifar_resnet_centroid_mean_separation,603,-0.2655978582579759,-0.1352109790947685,-0.3917202293580392,-0.3465804827609366
cifar_resnet_centroid_min_separation,603,0.5700844502058648,0.5300924637442797,0.6295075343693007,0.6542936117651599
cifar_resnet_centroid_mean_correlation,603,-0.8233167252252411,-0.9060860588684432,-0.9060068139388604,-0.8963109232714144
mnist_densenet_centroid_mean_separation,603,0.9439153800776592,0.91833608946427,0.963567696096054,0.930709211896508
mnist_densenet_centroid_min_separation,603,0.7756647801628627,0.723195015778578,0.9753694627783236,0.95192086090574
mnist_densenet_centroid_mean_correlation,603,-0.8924237646314583,-0.9144156174920186,-0.8999393093202197,-0.8373741951941699
mnist_resnet_centroid_mean_separation,603,0.8860365745200564,0.8610795211633219,0.979942680136139,0.9321285862732196
mnist_resnet_centroid_min_separation,603,0.717234052485832,0.6804456839846779,0.9742525059582912,0.943581194454269
mnist_resnet_centroid_mean_correlation,603,-0.9839779438851208,-0.991938385890062,-0.944087825358333,-0.8815928091544631
full_intra_class_mean_distance,2412,0.1336650233928869,0.5719173621867591,0.3665493950252411,0.663499102189682
full_inter_class_mean_distance,2412,0.2231956106857029,0.6402247248064258,0.5462425980434364,0.7673518620648028
